name,address,categories,description,services,email,pops_served,hand_sort__001,crisis_line,business_line,fax_number,insurance ,cost,languages,website,hand_sort__002,hand_sort__003,hand_sort__004,hand_sort__005,hand_sort__006,hand_sort__007,hand_sort__008,hand_sort__009,hand_sort__010,hand_sort__011,hand_sort__012,hand_sort__013,hand_sort__014,hand_sort__015,hand_sort__016,hand_sort__017,hand_sort__018,hand_sort__019,languges,wheelchair
AIDS/HIV/HEP C Night Line 12,P.O. Box 191350 San Francisco CA 94119,HIV/AIDS Hotlines,"Crisis line counseling, info, referrals for people with AIDS/HIV. This is the number to call when SF AIDS Foundation Hotline closes at night.",Wheelchair Accessible: Yes,hadik@sfsuicide.org,This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,,TDD:,Insurance: Fees: Hours: Ages:,415-434-AIDS,415-984-1902,415-984-1921,FREE,5pm-5am All,,Spanish,,,,,,,,,,Spanish,This entry needs Wheelchair accessibliy info
Al-Anon Family groups 13,"1095 Market Street, Suite 317 San Francisco CA 94103",Alcohol/Substance Ab Significant Others Support Groups,12-step program for people whose lives have been affected by another‰Ûªs drinking. Meeting in different churches in SF.,This entry needs a services list,,This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,www.al-anonsf.org,TDD:,Insurance: Fees: Hours: Ages:,415-626-5634,N/A FREE,Varies,,Spanish,,,,,,,,,,,,Spanish,This entry needs Wheelchair accessibliy info
Alateen 14,"1095 Market Street, Suite 317 San Francisco CA 94103",Alcohol/Substance Abu Youth,"12-step support groups for teenagers with alcoholic parents, relative, friends.",This entry needs a services list,,Youth,Crisis line: Business line: Fax:,,,,,,,www.al-anonsf.org,TDD:,Insurance: Fees: Hours: Ages:,415-626-5634,FREE,Varies Teens,,"Spanish, materials in braile",,,,,,,,,,,,"Spanish, materials in braile",This entry needs Wheelchair accessibliy info
Alcohol Help Line 15,"944 Market St., 3rd Fl San Francisco CA 94102",Alcohol/Substance Ab Hotlines,From the National Council on Alcohol/Drug Abuse.,"Provides information & referrals about alcohol, drugs & alcoholism over the phone as well as in person. Consolation and accessments, 5 week pre-treatment group.",info@ncadaba.com,All,Crisis line: Business line: Fax:,,,,,,,www.ncadaba.com,TDD:,Insurance: Fees: Hours: Ages:,415-296-9900,415-296-0626,415-296-1108,Sliding scale 24/7,All,,Wheelchair Accessible: Languages,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Alive & Kicking! 16,PO Box 16058 Oakland CA 94610,This entry needs a categories list,Self defense school for women. Formerly Women Defending Ourselves and Women's Safety Project.,"Covers safety awareness, assertiveness, physical techniques, and weapons",aliveandkick@gmail.com,Women only,Crisis line: Business line: Fax:,,,,,,,www.aliveandkickingselfdefens Categories:,TDD:,Insurance: Fees: Hours: Ages:,510-601-0141,Varies Varies,,Wheelchair Accessible: Languages,e org,Self Defense,,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
"Allan Regenstreif, MFCC 17",295 Fell St. #B San Francisco CA 94102,Perpetrators Male Survivors Counseling: Licensed,"Private practise specializing in all forms of family and stranger abuse including domestic violence, sexual abuse, child abuse and ritual abuse.","Works extensively with survivors and perpetrators, male partners or survivors and male victims of rape and child abuse.",This entry needs an email address,This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,E-mail,TDD:,Insurance: Fees: Hours: Ages:,415-431-7073,Yes,$40-$90,8am-9pm,,Wheelchair Accessible: No,,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
American Red Cross 18,,Emergency Needs,This entry needs a description,This entry needs a services list,,This entry needs a populations served list,85 2nd St. 8th floor San Francisco CA 94105,,,,,,,www.bayarea-redcross.org,Fees: Hours: Ages:,8:30-4:30 M-F,,"Has Emergency Funds, Homeless Prevention Fund, Rental Assistance for AFDC recipients, some help with PG&E bills",Wheelchair Accessible: Yes,"Spanish, Varies",,,,,,,,,,,,,"Spanish, Varies",This entry needs Wheelchair accessibliy info
Anonymous Tip Line: Bayview 19,San Francisco CA,Legal: D.A./Police,Leave information anonymously about something that you've seen or that's happened to you.,This entry needs a services list,This entry needs an email address,This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,This entry needs a website,TDD:,Insurance: Fees: Hours: Ages:,415-822-8147,,,,,,,,,,,,,,,,This entry needs a languages list,This entry needs Wheelchair accessibliy info
Anonymous Tip Line: Central Station 20,San Francisco CA,Legal: D.A./Police,Leave information anonymously about something that you've seen or that's happened to you.,This entry needs a services list,This entry needs an email address,This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,This entry needs a website,TDD:,Insurance: Fees: Hours: Ages:,415-392-2623,,,,,,,,,,,,,,,,This entry needs a languages list,This entry needs Wheelchair accessibliy info
Anonymous Tip Line: Ingleside 21,Crisis line: Business line: Fax:,Legal: D.A./Police,Leave information anonymously about something that you've seen or that's happened to you.,This entry needs a services list,This entry needs an email address,This entry needs a populations served list,TDD:,,,,,,,This entry needs a website,Insurance: Fees: Hours: Ages:,415-587-8984,,,,,,,,,,,,,,,,,This entry needs a languages list,This entry needs Wheelchair accessibliy info
Anonymous Tip Line: Mission,22,Legal: D.A./Police,Leave information anonymously about something that you've seen or that's happened to you.,This entry needs a services list,This entry needs an email address,This entry needs a populations served list,San Francisco CA,,,,,,,This entry needs a website,Crisis line: Business line: Fax:,TDD:,Insurance: Fees: Hours: Ages:,415-552-4558,,,,,,,,,,,,,,,This entry needs a languages list,This entry needs Wheelchair accessibliy info
Anonymous Tip Line: Northern Station 23,San Francisco CA,Legal: D.A./Police,Leave information anonymously about something that you've seen or that's happened to you.,This entry needs a services list,This entry needs an email address,This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,This entry needs a website,TDD:,Insurance: Fees: Hours: Ages:,415-885-5187,,,,,,,,,,,,,,,,This entry needs a languages list,This entry needs Wheelchair accessibliy info
Anonymous Tip Line: Park Station 24,San Francisco CA,Legal: D.A./Police,Leave information anonymously about something that you've seen or that's happened to you.,This entry needs a services list,This entry needs an email address,This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,This entry needs a website,TDD:,Insurance: Fees: Hours: Ages:,415-731-2865,,,,,,,,,,,,,,,,This entry needs a languages list,This entry needs Wheelchair accessibliy info
Anonymous Tip Line: Richmond 25,San Francisco CA,Legal: D.A./Police,Leave information anonymously about something that you've seen or that's happened to you.,This entry needs a services list,This entry needs an email address,This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,This entry needs a website,TDD:,Insurance: Fees: Hours: Ages:,415-668-7387,,,,,,,,,,,,,,,,This entry needs a languages list,This entry needs Wheelchair accessibliy info
Anonymous Tip Line: Southern Station 26,San Francisco CA,Legal: D.A./Police,Leave information anonymously about something that you've seen or that's happened to you.,This entry needs a services list,This entry needs an email address,This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,This entry needs a website,TDD:,Insurance: Fees: Hours: Ages:,415-552-4901,,,,,,,,,,,,,,,,This entry needs a languages list,This entry needs Wheelchair accessibliy info
Anonymous Tip Line: Taraval Station 27,San Francisco CA,Legal: D.A./Police,Leave information anonymously about something that you've seen or that's happened to you.,This entry needs a services list,This entry needs an email address,This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,This entry needs a website,TDD:,Insurance: Fees: Hours: Ages:,415-242-9753,,,,,,,,,,,,,,,,This entry needs a languages list,This entry needs Wheelchair accessibliy info
Anonymous Tip Line: Tenderloin 28,San Francisco CA,Legal: D.A./Police,Leave information anonymously about something that you've seen or that's happened to you.,This entry needs a services list,This entry needs an email address,This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,This entry needs a website,TDD:,Insurance: Fees: Hours: Ages:,415-929-9446,,,,,,,,,,,,,,,,This entry needs a languages list,This entry needs Wheelchair accessibliy info
Asian & Pacific Islander Wellness Center 29,"730 Polk St., 4th Floor San Francisco CA 94109",Asian/Pacific Islander HIV/AIDS,Agency which educates Asian & Pacific Islander community on HIV/AIDS and other STD‰Ûªs.,"Have peer counseling, give information and referrals. Provide outreach, case management, advocacy and health ed to targeted populations.",info@apiwellness.org,All,Crisis line: Business line: Fax:,,,,,,,www.apiwellness.org,TDD:,Insurance: Fees: Hours: Ages:,415-292-3400,415-292-3404,415-292-3410,FREE,9:30-5:30 M-F,All,,Wheelchair Accessible: Yes,Many,,,,,,,,Many,This entry needs Wheelchair accessibliy info
Asian American Recovery Services 30,2020 Hayes Street San Francisco CA 94117,Asian/Pacific Islander Alcohol/Substance Ab,"Provide Asian/Pacific Islander substance abusers at high risk for HIV/AIDS & family members with support, counseling, info., referrals. No documentation required, will help","Have residential as well as day programs, outreach.",,Asian and Non-Asian. SF residents only. No pregnant women.,Crisis line: Business line: Fax:,,,,,,,www.aars-inc.org,TDD:,Insurance: Fees: Hours: Ages:,415-541-9404,415-541-9986,N/A FREE,9-5:30 M-F,18+,,Wheelchair Accessible: Yes,Many,,,,,,,,,Many,This entry needs Wheelchair accessibliy info
Asian Community Mental Health Services 31,310 8th St. #201 Oakland CA 94607,Counseling: Licensed Asian/Pacific Islander,Culturally sensitive mental health agency.,"Wide variety of services, including crisis intervention, psych. testing, sexual assault treatment, conflict mediation, parenting classes.",info@acmhs.org,Asian/ all,Crisis line: Business line: Fax:,,,,,,,www.acmhs.org,TDD:,Insurance: Fees: Hours: Ages:,510-451-6729,510-268-0202,Yes,Sliding scale 9-5 M-F,All,,Wheelchair Accessible: Yes,Many,,,,,,,,,Many,This entry needs Wheelchair accessibliy info
Asian Family Institute 32,4020 Balboa Ave. San Francisco CA 94121,Asian/Pacific Islander Counseling: Licensed,"Culturally competent, psychological services for Asian & Pacific Islander, Russian-speaking, and other minority populations in the Bay Area","Mental health assesment and evaluation, psychological testing, medication evaluation & treatment, Psychotherapy, Consultation and training. Children/Adolescent/Relationship",,Asian American and other minority mental health issues.,Crisis line: Business line: Fax:,,,,,,,www.ramsinc.org,TDD:,Insurance: Fees: Hours: Ages:,415-668-5998,415-668-5996,Varies,Varies All,,Many,,,,,,,,,,,Many,This entry needs Wheelchair accessibliy info
Asian Immigrant Women Advocates 33,310 Eighth St. #301 Oakland CA 94607,Asian/Pacific Islander Immigrant Employment,Organization which works primarily with Asian women working in industrial jobs. No documentation required. Has another office in San Jose.,Provide weekly workplace literacy classes where women learn English and their rights as workers & immigrants.,aiwa@igc.apc.org,This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,www.aiwa.org,TDD:,Insurance: Fees: Hours: Ages:,510-268-0192,510-268-0194,FREE,9-5 M-F,All,,Wheelchair Accessible: Yes,"Cantonese, Korean, Mandarin",,,,,,,,,"Cantonese, Korean, Mandarin",This entry needs Wheelchair accessibliy info
Asian Law Caucus 34,939 Market St. Suite 201 San Francisco CA 94103,Asian/Pacific Islander Legal: Services,Law office serving the Asian community. No documentation required.,"Emphasis on housing, immigration, labor, discrimination, wills, elder rights. Free legal and immigration clinics.",,All Bay area residents,Crisis line: Business line: Fax:,,,,,,,www.asianlawcaucus.org,TDD:,Insurance: Fees: Hours: Ages:,415-896-1701,415-896-1702,Varies 9-5 M-F,All,,Wheelchair Accessible: Yes,Many,,,,,,,,,,Many,This entry needs Wheelchair accessibliy info
Asian Pacific Islander Family Hotline 35,657 Jackson St. San Francisco CA 94133,Asian/Pacific Islander Hotlines Significant Others,Hotline for parents in crisis regarding their children,"Chinese 642-6850, Tagalog 642-6851,",,"Asian Pacific Islander parents, families",Crisis line: Business line: Fax:,,,,,,,www.apasfgh.org,TDD:,Insurance: Fees: Hours: Ages:,415-617-0061,415-617-0064,FREE,Varies,,"Vietnamese 674-6820, Cambodian 674-6819,","Laotian 674-6825, Samoan 642-6854 Support groups, parenting classes, anger management,",Yes,"Drug and alcohol, behavioral problems,",Many,,,,,,,Many,Yes
Asian Perinatal Advocates 36,730 Commerical St. San Francisco CA 94108,Counseling: Licensed Support Groups Significant Others,Hospital based in-home support program specifically serving high risk API‰Ûªs in transition.,"Counseling, case management, support groups, parental stress line, therapy (individual, play, family, couple and group therapy), school consultation, DV presentation",,High risk API‰Ûªs,Crisis line: Business line: Fax:,,,,,,,www.apasfgh.org,TDD:,Insurance: Fees: Hours: Ages:,415-616-9797,415-616-9796,Sliding scale,,Many,,,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Asian Women‰Ûªs Home 37,2000 Moorpark San Jose CA 95128,Immigrant Legal: Attorney,LCCR's Asylum Program provides representation to indigent refugees fleeing persecution.,Interviews Wed-Fri by appt. Pro Bono or nominal fee. Must meet income guidelines for representation. Asylum cases screened for finances & meritorious claims.,This entry needs an email address,San Francisco Bay Area.,Crisis line: Business line: Fax:,,,,,,,E-mail,TDD:,Insurance: Fees: Hours: Ages:,408-975-2739,408-975-2730,408-975-2745,,"Spanish, French",,,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Asian Women‰Ûªs Resource Center 38,940 Washington St. San Francisco CA 94108,Asian/Pacific Islander Immigrant Social Justice,"Info/Referral Services, classes. No documentation required.","Survival Eng. Classes, Parent-Child Devt Program, Summer School and After-School Tutorial, Pre-employment Training, Children's Art Classes, Chi-Gong Classes",gummoon@gummoon.org,Asian immigrant families,Crisis line: Business line: Fax:,,,,,,,http://www.gbgm-,TDD:,Insurance: Fees: Hours: Ages:,415-788-1008,415-397-6836,Varies 9-6 M-F,All,,Wheelchair Accessible: Yes,"Mandarin, Cantonese, Vietnamese",umc org/awrc/,,,,,,,,,"Mandarin, Cantonese, Vietnamese",This entry needs Wheelchair accessibliy info
Asian Women‰Ûªs Shelter 39,3543 18th St. #19 San Francisco CA 94110,Asian/Pacific Islander Domestic Violence Housing/Shelter,Shelter for battered Asian women and their children (boys under 18). Must be clean & sober or enrolled in substance abuse program.,"Provide food, advocacy, referrals.",,"Asian immigrant and refugee populations, accept pregnant women.",Crisis line: Business line: Fax:,,,,,,,http://www.sfaws.org/,TDD:,Insurance: Fees: Hours: Ages:,877-751-0880,415-751-7110,415-751-0806,877-751-0880,$0-5/day 9-5 M-F,18+,,Emphasis on culturally appropriate services.,Wheelchair Accessible: Yes,Many,,,,,,,Many,This entry needs Wheelchair accessibliy info
"Atava Garcia Swiecicki, MA 41",3798 Grand Ave Oakland CA 94610,Body Work,Specialize in trauma recovery.,Acupressure and Jin Shin Jyutusu,This entry needs an email address,All,Crisis line: Business line: Fax:,,,,,,,E-mail,TDD:,Insurance: Fees: Hours: Ages:,510-541-2715,Sliding scale Varies,All,,Some Spanish,,,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
"Barbara J. Thomas, Ph.D. 42",760 Market St. Suite 945 San Francisco CA 94102,This entry needs a categories list,Clinical psychologist.,"Psychotherapy, EMDR, and Biofeedback",bjt.clinical.psy@sbcglobal.net,"Individuals, couples, families.",Crisis line: Business line: Fax:,,,,,,,,TDD:,Insurance: Fees: Hours: Ages:,415-310-6340,415-956-9206,Yes,Sliding scale,10am-8pm M-Sa All,,Wheelchair Accessible: Languages,Yes,Counseling: Licensed Body Work,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Bay Area Lawyers for Individual Freedom 43,"1800 Market Street, Box 47 San Francisco CA 94102",LGBTQII Legal: Attorney,"Non-profit legal referral service primarily for, but not limited to, the Lesbian/Gay community. No documentation required for services over the phone, but policies may vary with attorney.","Matches clients with attorney based on type of case involved, county, and attorney‰Ûªs experience",,"lesbian, gays, bisexual, and transgender people",Crisis line: Business line: Fax:,,,,,,,www.balif.org,TDD:,Insurance: Fees: Hours: Ages:,415-865-5620,$25+,"9am-12pm M, W, F All",,Varies,,,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Bay Area Legal Aid 44,"50 Fell St., 1st Floor San Francisco CA 94102",Legal: Services Employment Tenants Rights,Legal services which help low-income SF residents.,"Work with domestic violence, divorce, child custody, tenant rights and government benefits such as: AFDC, Food Stamps, GA, SSI, Unemployment, Veteran benefits.",,Low income S.F. residents,Crisis line: Business line: Fax:,,,,,,,www.baylegal.org,TDD:,Insurance: Fees: Hours: Ages:,800-551-5554,415-982-1300,415-982-4243,800-551-5554,FREE,9-5 M-F,All,,Wheelchair Accessible: Yes,Many,,,,,,,Many,This entry needs Wheelchair accessibliy info
Bay Area Video Coalition 45,"2727 Mariposa St., 2nd Floor San Francisco 94110",Social Justice Employment,BAVC is a nonprofit media arts center that provides low-cost access to training.,"Training in the following media technologies: web, CD-ROM, video audio, free comprehensive vocational training, job placement programs, job resource center.",bavc@bavc.org,This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,www.bavc.org,TDD:,Insurance: Fees: Hours: Ages:,415-861-3282,415-861-4316,Varies,Varies All,,Spanish,,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Bay Area Women Against Rape: East Bay 46,470 27th Street Oakland CA 94612,CA Rape Crisis Center,"The mission of Bay Area Women Against Rape is to empower, support, intervene on behalf of, and advocate for sexual assault survivors and their significant others.","Provides free in-person counseling to survivors of sexual assault and their significant others. Also offers accompaniment to police, court and hospital, a 24-hour hotline, support groups, and",This entry needs an email address,Alameda county,Crisis line: Business line: Fax:,,,,,,,This entry needs a website,TDD:,Insurance: Fees: Hours: Ages:,510-845-RAPE,510-430-1298,510-430-2579,N/A FREE,13+,,Wheelchair Accessible: No,community education.,"Spanish, ASL",,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Bayview Hope Resource Center 47,2111 Jennings San Francisco CA 94124,Emergency Needs,Drop-in center,"Drop-in center, case management, referrals, laundry (nominal fee), free voicemail, mail service, lockers, restrooms, showers, TV, breakfast, dinner, life skills, food, wheelchair",This entry needs an email address,men; women; adults; homeless; trans community,Crisis line: Business line: Fax:,,,,,,,This entry needs a website,TDD:,Insurance: Fees: Hours: Ages:,415-671-1101,FREE 24/7,All,,Yes,accessible.,All,,,,,,,,,,This entry needs a languges list,Yes
Bayview Hunter‰Ûªs Point Center for Problem Drinkers 48,1625 Carroll St. San Francisco CA 94124,Counseling: Peer Support Groups Alcohol/Substance Ab,No documentation required.,"Individual., group, family counseling. Also does home visits, runs parenting classes.",This entry needs an email address,"African American, All, Pregnant women",Crisis line: Business line: Fax:,,,,,,,This entry needs a website,TDD:,Insurance: Fees: Hours: Ages:,415-822-6727,415-822-6822,Yes,Sliding scale Varies,All,,Wheelchair Accessible: Yes,Spanish,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Berkeley Free Clinic 49,2339 Durant Ave. Berkeley CA 94704,Health Clinics HIV/AIDS,Provides basic primary medical care. No documentation required.,"Pregnancy & HIV testing, STD treatment (but not testing), peer counseling, referrals. Dental Services (510-548-2744). Free Hepatitis A, B and C testing and counseling.",info@berkeleyfreeclinic.org,This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,www.berkeleyfreeclinic.org,TDD:,Insurance: Fees: Hours: Ages:,800-6-CLINIC,510-548-1730,FREE,Varies All,,"Spanish, Varies",,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Bernal Heights Neighborhood Center 50,,Legal: Services Elders (55+) Youth,This entry needs a description,This entry needs a services list,info@bhnc.org,All,515 Cortland Ave. San Francisco CA 94110,,,,,,,www.bhnc.org,Fees: Hours: Ages:,Sliding scale 9-5 M-F,All,,Youth employment services. Gang prevention program. Programs for frail or homebound seniors and well seniors. ESL/citizenship classes. Legal assistance. Employment referrals and,Spanish,,,,,,,,,,,,,Spanish,This entry needs Wheelchair accessibliy info
Big Brothers Big Sisters of SF and the Peninsula 51,"870 Market St., Ste 928 San Francisco CA 94102",This entry needs a categories list,One-on-One mentoring program for children ages 6-17.,"Provides education and training for children, their families, and mentors. Case management which supports family and volunteers, group activities.",info@sf-bbbs.org,All,Crisis line: Business line: Fax:,,,,,,,,TDD:,Insurance: Fees: Hours: Ages:,415-693-7700,415-693-7799,FREE,9-5 M-F,All,,Spanish,Significant Others Youth,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
Black Coalition on AIDS 52,2800 Third St. San Francisco CA 94107,African American/Blac HIV/AIDS,Advocates for Blacks who have or are at risk of contracting the HIV virus.,"Provides case management, ADAP enrollment, Anonymous HIV prevention information, referrals for testing, treatment, and support",bcoa@bcoa.org,African American Community.,Crisis line: Business line: Fax:,,,,,,,www.bcoa.org,TDD:,Insurance: Fees: Hours: Ages:,415-615-9945,415-615-9943,415-568-2082,FREE,9-5 M-F,All,,Wheelchair Accessible: Yes,Spanish,,,,,,,,Spanish,This entry needs Wheelchair accessibliy info
Board of Behavioral Science 53,"1625 N Market Blvd, Ste S-200 Sacramento CA 95834",Counseling: Licensed Legal: Services,To report abuse by an MFCC or LCSW.,This entry needs a services list,,All,Crisis line: Business line: Fax:,,,,,,,www.bbs.ca.gov,TDD:,Insurance: Fees: Hours: Ages:,916-574-7830,916-574-8625,N/A FREE,All,,N/A,,,,,,,,,,,This entry needs a languages list,This entry needs Wheelchair accessibliy info
