name,description,categories,crisisLine,businessLine,website,email,address,fax,cityState,payment,zip,accessibility,hours,languages
California Coalition for Women Prisoners (CCWP),"A grassroots social justice organization, that challenges the institutional violence imposed on women, transgender people, and communities of color. Services include advocacy for within prison conditions, advocacy for release of battered women prisoners and women incarcerated due to the drug war, support political prisoners. Serves women, transgender and gender non-conforming in CA prisons, former prisoners and SO's.","Incarcerated (Currently/Formerly) Policy Advocacy, Support Groups ",415-503-0799,415-255-7036,womenprisoners.org,info@womenprisoners.org,"1540 Market St, Ste 490",415-522-3150,"San Francisco, CA",,94102,Wheelchair,By appointment,SPA
California Counseling Institute,"Center offers couples, individual, family,group, teen counseling. No documentation required. Depression, anxiety, loss and grief, child abuse, career issues, stress management, eating disorders (general practice)","Counseling: Licensed, Support Groups, Youth",,415-752-1702,californiacounseling.org,ccipsyche@earthlink.net,4614 California St.,415-933-8593,"San Francisco, CA","Private insurance, Sliding scale",94118,,"M-F 8am-8pm, Sa 10am-4pm","CAN, FRE, GER, RUS"
California Indian Legal Services,Indian-controlled non-profit law firm that provides free legal services to low income individuals. Local calls 916-978-0960. Serves Native Americans.,"Native American/Indigenous, Legal: Services",,800-829-0284,calindian.org,,"117 J St., Suite 300",916-400-4891,"Sacramento, CA",Free if income qualifications are met,95814,,M-F 9am-5pm,SPA
California Poison Action Line,TDD: 800-972-3323,"Emergency Services, Hotlines, TDD",800-222-1222,800-876-4766,calpoison.org,,,,", CA",,,,24/7,
California Prevention Education Project,"To prevent the spread of HIV/AIDS in San Francisco and Alameda counties. No documentation required. Services include HIV testing(W & Th 9:30-5p), subtance abuse counseling, educational outreach, a youth drop-in center, research interventions,case management, and advocacy. Serves all ages 16+, sex workers, and drug users.","Counseling: Peer, HIV/AIDS, Sex Workers, Substance Abuse",,510-874-7850,calpep.org,info@calpep.org,2811 Adeline St.,510-839-6775,"Oakland, CA",Free,94608,,M-F 8:30am-5pm,
California Relay Service,Service which relays telephone calls between the deaf community and hearing public. TTY/VCO/HCO to Voice: 1-800-735-2929. Voice to TTY/VCO/HCO: 1-800- 735-2922. From or to Speech-to-Speech: 1-800-854-7784. Text Palo Alto: 650-856- 3646 San Francisco 415-356-0376.,"24-Hour Services, Disability, TDD",,,ddtp.cpuc.ca.gov/default1.aspx?id=1482,,6436 Oakdale Road,,"Riverbank, CA",Free,95367,,24/7,SPA
California Youth Crisis Line,"Hotline for at risk and homeless youth. Also takes calls from parents, but all calls are confidential. Provides crisis counseling, referrals to shelter and other services. Serves youths ages 12-24, Families and friends of young people, Youth-serving agencies. Translation service for languages other than SPA and English.","Hotlines, Youth, Significant Others, 24-Hour Services",800-843-5200,916-340-0505,youthcrisisline.org/,cycl@calyouth.org,PO BOX 163147,916-340-0510,"Sacramento, CA",Free,95816,,24/7,SPA
Career Resource Development Center,"Provides vocational training, English instruction and job placement services to limited English speaking, low-income immigrants and refugees and low-income individuals. Conducts a 19-week vocational training in clerical skills, computers, accounting, banking, and tourist industry fields.","Counseling: Licensed, Job/Employment Services",,415-775-8880,,,655 Geary St,415-775-1748,"San Francisco, CA",,94102,,M-F 8am-5pm,
"Carol Norris, MFT",Marriage and Family therapist,Counseling: Licensed,,415-312-0136,,,"1824 Noriega St., Suite #5",415-566-1344,"San Francisco, CA",,94122,,,
Casa de Esperanza,Rape Crisis Center- Yuba City,"CA Rape Crisis Center, Counseling: Peer, Domestic Violence, Hotlines, Shelter/Transitional Housing ",530-674-2040,530-674-5400,casadeesperanzasite.com,celcs@syix.com,PO Box 56,530-674-3035,"Yuba City, CA",Free,95992,,24/7,"SPA, HMO, PAN"
CASARC (Child & Adolescent Sexual Abuse Resource Center),"Phone Consultation about issues of child sexual abuse to parents, youth, schools, health care and counseling providers, and presentations to groups in the community and more. Provides crisis counseling, medical treatment, evidence collection, therapy, liaison with Victim Witness, and referrals for child (up to 18 years) survivors. Serves sexually abused children, adolescents and their families.","Significant Others, Child Sexual Abuse (Child, Client) Counseling: Licensed",415-206-8386,415-206-8386,casarc.org,,995 Potrero Ave. Bldg 80 Ward,415-206-6273 83,"San Francisco, CA","Private insurance, Sliding scale",94110,Wheelchair,M-F 9am-5pm,
CAST (Coalition to Abolish Slavery and Trafficking),"Assists people who are victims of human trafficking. Combined social, shelter, and legal services, upon intake, the CAST staff assesses for emergency needs, such as housing, clothing, food, and safety.","Hotlines, Shelter/Transitional Housing, Legal: Services, Emergency Services, Counseling: Licensed",1-888-539-2373,213-365-1906,castla.org,,"5042 Wilshire Blvd., #586",213-365-5257,"Los Angeles, CA",Free,90036,,M-F 8:30am-5pm,"SPA, THA, KOR"
Castro Mission Health Center,"Provides mental health services to transgender and gender variant clients. Also provides sexual health services to LGBTQI youth under 25, includes STD testing, pelvic exams, check-ups, immunizations, case management. Serves trans, les/gay, youth.","Counseling: Licensed, LGBQQ, Medical/Health Services, Youth, Transgender",,415-934-7700,,,3850 17th St,,"San Francisco, CA",,94114,Wheelchair,"M-F 8am-5pm, Tu 8am-9pm","SPA, CAN, CHI, TGL"
Catholic Charities CYO,"Provide a variety of community services to people of all faiths. Services include Adoption, Aging Services, Children's Programs, Counseling, CYO, Family Housing, Assisted Housing & Health Services, Meals on Wheels, Refugee & Immigrant Services, St. Vincent's Youth Residential.","Elders (55+), Shelter/Transitional Housing",,415-972-1200,cccyo.org,moreinfo@cccyo.org,"180 Howard Street, Suite 100",415-972-1201,"San Francisco, CA",Free,94105,Wheelchair,,SPA
Catholic Charities CYO-Rita da Cascia,"Transitional program (up to 18 months) for formerly homeless or marginally housed single women and their children affected by AIDS/HIV. No documentation required. Provides case management, daytime activities, counseling. Serves San Francisco women 18+ with children under 16. Pregnant women accepted.","HIV/AIDS, Shelter/Transitional Housing",,415-202-0941,community.cccyo.org/page.aspx?pid=362,moreinfo@cccyo.org,"1652 Eddy St, Ste 8",415-202-0937,"San Francisco, CA",,94115,Wheelchair,M-F 9am-5pm,SPA
Center Against Sexual Assault of SW Riverside County,California Rape Crisis Center for Riverside County residents- Hemet. Local Crisis Call: 951-652-8300.,"CA Rape Crisis Center, Hotlines, Counseling: Licensed, Counseling: Peer",866-373-8300,951-652-8300,smedelstein.com/casa/index.htm,mdoriente@swcasa.org,PO Box 2564,951-652-0944,"Hemet, CA",Free,92546,,M-F 8-5pm closed 12-1 for lunch,
Center for Community Solutions,Calfornia Rape Crisis Center- San Diego County Residents,"CA Rape Crisis Center, Counseling: Licensed, Hotlines",888-385-4657,858-272-5777,ccssd.org,info@ccssd.org,4508 Mission Bay Dr.,858-272-5361,"San Diego, CA",,92109,,M-F 8:30-5,
"Center for Domestic Peace, home of Marin Abused Women's Services","Services for battered women and their children. Services include emergency shelter, transitional housing, drop-in & closed groups, individual counseling, referrals, group for battered lesbians. Accepts pregnant women. SPA Line (415) 924-3456. TDD: 415-457-2424","Domestic Violence, Shelter/Transitional Housing, Counseling: Peer, Support Groups, TDD  ",415-924-6616,415-457-2464,maws.org,administrator@c4dp.org,734 A St.,415-457-6457,"San Rafael, CA",Sliding scale,94901,Wheelchair,M-F 9am-5pm,SPA
